param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.748,  0.0,  0.0,  0.0,  818.039,  0.748,  0.0,  0.0,  0.0,  2.046
3,  0.748,  0.0,  0.0,  0.0,  831.144,  0.748,  0.0,  0.0,  0.0,  1.841
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.748,  0.0,  0.0,  0.0,  912.078,  0.748,  0.0,  0.0,  0.0,  2.344
3,  0.748,  0.0,  0.0,  0.0,  875.39,  0.748,  0.0,  0.0,  0.0,  2.607
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.755,  1.0,  0.02,  0.039,  54.713,  0.755,  1.0,  0.02,  0.039,  1.726
3,  0.742,  0.391,  0.06,  0.104,  55.013,  0.74,  0.364,  0.053,  0.093,  1.7
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.748,  0.0,  0.0,  0.0,  143.937,  0.748,  0.0,  0.0,  0.0,  2.201
3,  0.732,  0.133,  0.013,  0.024,  146.988,  0.732,  0.133,  0.013,  0.024,  1.782
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.752,  1.0,  0.007,  0.013,  142.946,  0.752,  1.0,  0.007,  0.013,  2.133
3,  0.752,  1.0,  0.007,  0.013,  143.574,  0.752,  1.0,  0.007,  0.013,  2.095
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.75,  0.0,  0.0,  0.0,  141.657,  0.75,  0.0,  0.0,  0.0,  1.907
3,  0.75,  0.0,  0.0,  0.0,  139.405,  0.75,  0.0,  0.0,  0.0,  2.746
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.75,  0.0,  0.0,  0.0,  142.598,  0.75,  0.0,  0.0,  0.0,  1.819
3,  0.745,  0.0,  0.0,  0.0,  138.42,  0.745,  0.0,  0.0,  0.0,  2.169
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.748,  0.0,  0.0,  0.0,  136.912,  0.748,  0.0,  0.0,  0.0,  1.72
3,  0.752,  1.0,  0.007,  0.013,  133.117,  0.752,  1.0,  0.007,  0.013,  2.119
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
3,  0.75,  0.0,  0.0,  0.0,  123.306,  0.75,  0.0,  0.0,  0.0,  2.418
3,  0.75,  0.0,  0.0,  0.0,  118.789,  0.75,  0.0,  0.0,  0.0,  2.101
param,  old_acc,  old_prec,  old_rec,  old_f1, learn_t,  new_acc,  new_prec,  new_rec,  new_f1,   atk_t
